Data,Sentence,Label
parad,1,Other
fate,1,Other
bat,1,Other
u.k.,1,Other
anp,1,Other
export,1,Other
tanrep,1,Other
ae,1,Other
export,1,Other
house,1,Other
woking,1,Other
surrey,1,Other
gu211yb,1,Other
england,1,Other
telechone,1,Other
woking,1,Other
7612,1,Other
brown,1,Other
will,1,Other
telegraphic,1,Other
addreee,1,Other
export,1,Other
woking,1,Other
son,1,Other
international,1,Other
tobacco,1,Other
3000,1,Other
first,1,Other
national,1,Other
tower,1,Other
telex,1,Other
es01,1,Other
301,1,Other
south,1,Other
fifth,1,Other
street,1,Other
vat,1,Other
reg,1,Other
no,1,Other
201600,1,Other
louisville,1,Other
kentucky,1,Other
40202,1,Other
wolee,1,Other
no.,1,Other
n,1,B-InvoiceNumber
1816,1,I-InvoiceNumber
u.s.a.,1,Other
tevolee,1,Other
date,1,Other
zax,1,Other
pointy.,1,Other
attention,1,Other
mr.,1,Other
gary,1,Other
khirschner,1,Other
by,1,Other
debit,1,Other
in,1,Other
respect,1,Other
of,1,Other
wait,1,Other
of,1,Other
counter,1,Other
deal,1,Other
charges,1,Other
in,1,Other
1981,1,Other
in,1,Other
excess,1,Other
of,1,Other
your,1,Other
earlier,1,Other
estimate.,1,Other
geoff,1,Other
harper,1,Other
s,1,Other
telex,1,Other
of,1,Other
25,1,Other
5,1,Other
82,1,Other
refers,1,Other
usd,1,B-InvoiceAmount
13600,1,I-InvoiceAmount
1.8,1,Other
71555655,1,Other
tosse7029,1,Other
ted,2,Other
bates,2,Other
a,2,Other
company.,2,Other
inc,2,Other
advertising,2,Other
pre,2,Other
stooap,2,Other
9,2,Other
ct,2,Other
oatnees,2,Other
ee,2,Other
ee,2,Other
pare,2,Other
cient,2,Other
gh,2,Other
gronn,2,Other
6,2,Other
williamson,2,Other
tobacco,2,Other
corp,2,Other
prgouction,2,Other
estimate,2,Other
report,2,Other
aci4,2,Other
eaicr,2,Other
et,2,Other
kool.,2,Other
billing,2,Other
type.,2,Other
frcgressive,2,Other
resin,2,Other
bh,2,Other
print,2,Other
eroon,2,Other
run,2,Other
cr,2,Other
aprel,2,Other
t,2,Other
at,2,Other
18038,2,Other
page,2,Other
2,2,Other
sep,2,Other
prasos,2,Other
like,2,Other
er,2,Other
long,2,Other
put,2,Other
hate,2,Other
4x,2,Other
strong,2,Other
khepra77,2,Other
koh,2,Other
76r98,2,Other
cowhe,2,Other
vert,2,Other
spr,2,Other
lngs,2,Other
mgs,2,Other
billing,2,Other
1609,2,Other
hill,2,Other
st,2,Other
1977,2,Other
timg,2,Other
essence,2,Other
tw,2,Other
guidejset,2,Other
c,2,Other
calls,2,Other
4,2,Other
6,2,Other
bl.,2,Other
auoress,2,Other
louisville,2,Other
ky,2,Other
40201,2,Other
prot,2,Other
og-,2,Other
alpha,2,Other
16267,2,Other
work,2,Other
cude,2,Other
coma1s,2,Other
sion,2,Other
cnt,2,Other
mat,2,Other
nese,2,Other
rate,2,Other
estiaate,2,Other
astinate,2,Other
6,2,Other
photogrphas,2,Other
fee,2,Other
280,2,Other
1300,2,Other
1300,2,Other
6,2,Other
gla,2,Other
prntaoye,2,Other
18,2,Other
ano,2,Other
22800,2,Other
225,2,Other
9,2,Other
retouching,2,Other
280,2,Other
40000,2,Other
400,2,Other
a1,2,Other
phorostats.,2,Other
zero,2,Other
75,2,Other
15,2,Other
12,2,Other
nechanicals,2,Other
zero,2,Other
225,2,Other
225,2,Other
42,2,Other
transparengles,2,Other
ze0o,2,Other
150,2,Other
150,2,Other
typoceaphy,2,Other
zero,2,Other
120,2,Other
180,2,Other
s,2,Other
epeants,2,Other
zerg,2,Other
35,2,Other
35,2,Other
ro,2,Other
may.,2,Other
sues,2,Other
tax,2,Other
zer0,2,Other
207.2,2,Other
tors,2,Other
2191.2,2,B-InvoiceAmount
comssions,2,Other
torals,2,Other
lorass,2,Other
2pt20,2,Other
wig,2,Other
o4mstock,2,Other
photdgraphy,2,Other
price,2,Other
for,2,Other
all,2,Other
media,2,Other
fcr,2,Other
one,2,Other
year,2,Other
c,2,Other
lan2,2,Other
at,2,Other
625,2,Other
w,2,Other
c,2,Other
42h3,2,Other
at,2,Other
575,2,Other
wie,2,Other
4203,2,Other
at,2,Other
850,2,Other
imate,2,Other
66407,2,Other
8,2,Other
230,2,Other
iv,2,Other
or,2,Other
ti,2,Other
eeioaoet,2,Other
eens,2,Other
fllsed.,2,Other
the,3,Other
sere,3,Other
american,3,Other
siaeancineacrevnseseane,3,Other
frobacco,3,Other
company,3,Other
ma,3,Other
nvcices,3,Other
to,3,Other
our,3,Other
adminstratne,3,Other
center,3,Other
exeral,3,Other
aecounting,3,Other
office,3,Other
bebo,3,Other
95,3,Other
special,3,Other
notice,3,Other
purchase,3,Other
onoer,3,Other
no.,3,Other
mi,3,B-InvoiceNumber
2005,3,I-InvoiceNumber
chester,3,Other
virgina,3,Other
20097-8100,3,Other
ome,3,Other
january,3,B-InvoiceDate
9,3,I-InvoiceDate
1094,3,E-InvoiceDate
ts,3,Other
som,3,Other
ees,3,Other
req,3,Other
no.,3,Other
auth.,3,Other
2,3,Other
budget,3,Other
gft,3,Other
fa,3,Other
eden,3,Other
jewelry,3,Other
co.,3,Other
inc.,3,Other
212,3,Other
highlawn,3,Other
avenue,3,Other
brooklyn,3,Other
ny,3,Other
11223,3,Other
attn,3,Other
mf.,3,B-CustomerName
dennis,3,I-CustomerName
flyer,3,E-CustomerName
the,3,Other
fulfillment,3,Other
house,3,Other
7,3,Other
midland,3,Other
avenue,3,Other
hicksville,3,Other
